Title:,"Time Series, Area-Averaged of Incident shortwave radiation land, time average hourly 0.5 x 0.625 deg. [MERRA-2 (hourly)"
User Start Date:,2015-12-31T00:00:00Z
User End Date:,2025-01-01T23:59:59Z
User Bounding Box:,"-75.76,5.33,-75.66,5.43"
Data Bounding Box:,"-75.625,5.5,-75.625,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-12-31T00:00:00Z&endtime=2025-01-01T23:59:59Z&bbox=-75.76,5.33,-75.66,5.43&data=M2T1NXLFO_5_12_4_SWGDN&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXLFO_5_12_4_SWGDN):, 1000000000000000

time, mean_M2T1NXLFO_5_12_4_SWGDN
2016-01-19 17:30:00,565.751648
2016-01-19 18:30:00,591.294434
2016-01-19 19:30:00,581.239319
2016-01-19 20:30:00,471.419006
2016-01-19 21:30:00,268.462067
2016-01-19 22:30:00,59.757122
2016-01-19 23:30:00,0
2016-01-20 00:30:00,0
2016-01-20 01:30:00,0
2016-01-20 02:30:00,0
2016-01-20 03:30:00,0
2016-01-20 04:30:00,0
2016-01-20 05:30:00,0
2016-01-20 06:30:00,0
2016-01-20 07:30:00,0
2016-01-20 08:30:00,0
2016-01-20 09:30:00,0
2016-01-20 10:30:00,0
2016-01-20 11:30:00,39.4661789
2016-01-20 12:30:00,208.747238
2016-01-20 13:30:00,417.256104
2016-01-20 14:30:00,700.618347
2016-01-20 15:30:00,845.576782
2016-01-20 16:30:00,877.151062
2016-01-20 17:30:00,846.42688
2016-01-20 18:30:00,747.625183
2016-01-20 19:30:00,506.176147
2016-01-20 20:30:00,308.390625
2016-01-20 21:30:00,139.359436
2016-01-20 22:30:00,27.2605991
2016-01-20 23:30:00,0
2016-01-21 00:30:00,0
2016-01-21 01:30:00,0
2016-01-21 02:30:00,0
2016-01-21 03:30:00,0
2016-01-21 04:30:00,0
2016-01-21 05:30:00,0
2016-01-21 06:30:00,0
2016-01-21 07:30:00,0
2016-01-21 08:30:00,0
2016-01-21 09:30:00,0
2016-01-21 10:30:00,0
2016-01-21 11:30:00,27.508543
2016-01-21 12:30:00,143.086975
2016-01-21 13:30:00,334.22995
2016-01-21 14:30:00,533.436401
2016-01-21 15:30:00,533.883728
2016-01-21 16:30:00,612.816284
2016-01-21 17:30:00,598.892029
2016-01-21 18:30:00,516.377869
2016-01-21 19:30:00,410.131348
2016-01-21 20:30:00,240.603546
2016-01-21 21:30:00,108.63829
2016-01-21 22:30:00,22.8675251
2016-01-21 23:30:00,0
2016-01-22 00:30:00,0
2016-01-22 01:30:00,0
2016-01-22 02:30:00,0
2016-01-22 03:30:00,0
2016-01-22 04:30:00,0
2016-01-22 05:30:00,0
2016-01-22 06:30:00,0
2016-01-22 07:30:00,0
2016-01-22 08:30:00,0
2016-01-22 09:30:00,0
2016-01-22 10:30:00,0
2016-01-22 11:30:00,24.3590145
2016-01-22 12:30:00,139.544357
2016-01-22 13:30:00,304.637451
2016-01-22 14:30:00,477.667786
2016-01-22 15:30:00,665.060791
2016-01-22 16:30:00,736.266663
2016-01-22 17:30:00,542.126343
2016-01-22 18:30:00,504.523773
2016-01-22 19:30:00,398.651733
2016-01-22 20:30:00,233.436325
2016-01-22 21:30:00,96.5551071
2016-01-22 22:30:00,19.0819683
2016-01-22 23:30:00,0
2016-01-23 00:30:00,0
2016-01-23 01:30:00,0
2016-01-23 02:30:00,0
2016-01-23 03:30:00,0
2016-01-23 04:30:00,0
2016-01-23 05:30:00,0
2016-01-23 06:30:00,0
2016-01-23 07:30:00,0
2016-01-23 08:30:00,0
2016-01-23 09:30:00,0
2016-01-23 10:30:00,0
2016-01-23 11:30:00,22.6141262
2016-01-23 12:30:00,123.156616
2016-01-23 13:30:00,241.157257
2016-01-23 14:30:00,335.199646
2016-01-23 15:30:00,369.885345
2016-01-23 16:30:00,380.633911
2016-01-23 17:30:00,355.962524
2016-01-23 18:30:00,326.595123
2016-01-23 19:30:00,275.785431
2016-01-23 20:30:00,199.355896
2016-01-23 21:30:00,105.989853
2016-01-23 22:30:00,22.8582287
2016-01-23 23:30:00,0
2016-01-24 00:30:00,0
2016-01-24 01:30:00,0
2016-01-24 02:30:00,0
2016-01-24 03:30:00,0
2016-01-24 04:30:00,0
2016-01-24 05:30:00,0
2016-01-24 06:30:00,0
2016-01-24 07:30:00,0
2016-01-24 08:30:00,0
2016-01-24 09:30:00,0
2016-01-24 10:30:00,0
2016-01-24 11:30:00,36.4992485
2016-01-24 12:30:00,194.073181
2016-01-24 13:30:00,453.125885
2016-01-24 14:30:00,696.641235
2016-01-24 15:30:00,841.818909
2016-01-24 16:30:00,869.088562
2016-01-24 17:30:00,817.711365
2016-01-24 18:30:00,727.08667
2016-01-24 19:30:00,539.963806
2016-01-24 20:30:00,287.615234
2016-01-24 21:30:00,126.776947
2016-01-24 22:30:00,22.8353405
2016-01-24 23:30:00,0
2016-01-25 00:30:00,0
2016-01-25 01:30:00,0
2016-01-25 02:30:00,0
2016-01-25 03:30:00,0
2016-01-25 04:30:00,0
2016-01-25 05:30:00,0
2016-01-25 06:30:00,0
2016-01-25 07:30:00,0
2016-01-25 08:30:00,0
2016-01-25 09:30:00,0
2016-01-25 10:30:00,0
2016-01-25 11:30:00,41.6339417
2016-01-25 12:30:00,209.451721
2016-01-25 13:30:00,415.308228
2016-01-25 14:30:00,727.309692
2016-01-25 15:30:00,898.920105
2016-01-25 16:30:00,973.360107
2016-01-25 17:30:00,968.366394
2016-01-25 18:30:00,888.081665
2016-01-25 19:30:00,735.582947
2016-01-25 20:30:00,518.812988
2016-01-25 21:30:00,271.407654
2016-01-25 22:30:00,49.4960136
2016-01-25 23:30:00,0
2016-01-26 00:30:00,0
2016-01-26 01:30:00,0
2016-01-26 02:30:00,0
2016-01-26 03:30:00,0
2016-01-26 04:30:00,0
2016-01-26 05:30:00,0
2016-01-26 06:30:00,0
2016-01-26 07:30:00,0
2016-01-26 08:30:00,0
2016-01-26 09:30:00,0
2016-01-26 10:30:00,0
2016-01-26 11:30:00,51.9365997
2016-01-26 12:30:00,251.934418
2016-01-26 13:30:00,488.477234
2016-01-26 14:30:00,756.610046
2016-01-26 15:30:00,914.021423
2016-01-26 16:30:00,998.840149
2016-01-26 17:30:00,992.076416
2016-01-26 18:30:00,883.461365
2016-01-26 19:30:00,685.275757
2016-01-26 20:30:00,456.213837
2016-01-26 21:30:00,236.335693
2016-01-26 22:30:00,46.5858917
2016-01-26 23:30:00,0
2016-01-27 00:30:00,0
2016-01-27 01:30:00,0
2016-01-27 02:30:00,0
2016-01-27 03:30:00,0
2016-01-27 04:30:00,0
2016-01-27 05:30:00,0
2016-01-27 06:30:00,0
2016-01-27 07:30:00,0
2016-01-27 08:30:00,0
2016-01-27 09:30:00,0
2016-01-27 10:30:00,0
2016-01-27 11:30:00,42.2519417
2016-01-27 12:30:00,203.45253
2016-01-27 13:30:00,415.843872
2016-01-27 14:30:00,673.257446
2016-01-27 15:30:00,802.701904
2016-01-27 16:30:00,877.062317
2016-01-27 17:30:00,854.574036
2016-01-27 18:30:00,807.998657
2016-01-27 19:30:00,658.411743
2016-01-27 20:30:00,483.732147
2016-01-27 21:30:00,268.31015
2016-01-27 22:30:00,52.3866425
2016-01-27 23:30:00,0
2016-01-28 00:30:00,0
2016-01-28 01:30:00,0
2016-01-28 02:30:00,0
2016-01-28 03:30:00,0
2016-01-28 04:30:00,0
2016-01-28 05:30:00,0
2016-01-28 06:30:00,0
2016-01-28 07:30:00,0
2016-01-28 08:30:00,0
2016-01-28 09:30:00,0
2016-01-28 10:30:00,0
2016-01-28 11:30:00,39.7215271
2016-01-28 12:30:00,206.048187
2016-01-28 13:30:00,412.43689
2016-01-28 14:30:00,624.539612
2016-01-28 15:30:00,810.795471
2016-01-28 16:30:00,936.083313
2016-01-28 17:30:00,953.960144
2016-01-28 18:30:00,867.814758
2016-01-28 19:30:00,664.67572
2016-01-28 20:30:00,451.554169
2016-01-28 21:30:00,233.691452
2016-01-28 22:30:00,35.4796791
2016-01-28 23:30:00,0
2016-01-29 00:30:00,0
2016-01-29 01:30:00,0
2016-01-29 02:30:00,0
2016-01-29 03:30:00,0
2016-01-29 04:30:00,0
2016-01-29 05:30:00,0
2016-01-29 06:30:00,0
2016-01-29 07:30:00,0
2016-01-29 08:30:00,0
2016-01-29 09:30:00,0
2016-01-29 10:30:00,0
2016-01-29 11:30:00,39.4568748
2016-01-29 12:30:00,204.520187
2016-01-29 13:30:00,397.460297
2016-01-29 14:30:00,663.221069
2016-01-29 15:30:00,771.678223
2016-01-29 16:30:00,824.66095
2016-01-29 17:30:00,833.355164
2016-01-29 18:30:00,725.731079
2016-01-29 19:30:00,564.527222
2016-01-29 20:30:00,315.950195
2016-01-29 21:30:00,139.274261
2016-01-29 22:30:00,28.8520813
2016-01-29 23:30:00,0
2016-01-30 00:30:00,0
2016-01-30 01:30:00,0
2016-01-30 02:30:00,0
2016-01-30 03:30:00,0
2016-01-30 04:30:00,0
2016-01-30 05:30:00,0
2016-01-30 06:30:00,0
2016-01-30 07:30:00,0
2016-01-30 08:30:00,0
2016-01-30 09:30:00,0
