"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0023035030","0068","2008 Oct 21 12:00:00 PM","33,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Nov 06 10:00:00 AM","29,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Mar 30 01:00:00 PM","25,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2009 Aug 19 10:00:00 PM","26,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2016 Dec 15 11:00:00 AM","29,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 Oct 26 06:00:00 AM","22,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Mar 13 11:00:00 AM","34,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Nov 17 12:00:00 AM","24,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Jan 04 03:00:00 AM","25,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2014 Feb 02 08:00:00 PM","26,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
